,Tamil_Nadu_demand
1293,14602.41
1294,14602.41
1295,14602.41
1296,15792.53
1297,15792.53
1298,15792.53
1299,15792.53
1300,15575.87
1301,15575.87
1302,15575.87
1303,15575.87
1304,15322.66
1305,15322.66
1306,15322.66
1307,15322.66
1308,16101.95
1309,16101.95
1310,16101.95
1311,16101.95
1312,16650.36
1313,16650.36
1314,16650.36
1315,16650.36
1316,16724.39
1317,16724.39
1318,16724.39
1319,16724.39
1320,16449.52
1321,16449.52
1322,16449.52
1323,16449.52
1324,16259.48
1325,16259.48
1326,16259.48
1327,16259.48
1328,16201.97
1329,16201.97
1330,16201.97
1331,16201.97
1332,15775.64
1333,15775.64
1334,15775.64
1335,15775.64
1336,15754.21
1337,15754.21
1338,15754.21
1339,15754.21
1340,14889.47
1341,14889.47
1342,14889.47
1343,14889.47
1344,14193.01
1345,14193.01
1346,14193.01
1347,14193.01
1348,13640.72
1349,13640.72
1350,13640.72
1351,13640.72
1352,13333.39
1353,13333.39
1354,13333.39
1355,13333.39
1356,13179.32
1357,13179.32
1358,13179.32
1359,13179.32
1360,12931.62
1361,12931.62
1362,12931.62
1363,12931.62
1364,12979.89
1365,12979.89
1366,12979.89
1367,12979.89
1368,13622.55
1369,13622.55
1370,13622.55
1371,13622.55
1372,14770.44
1373,14770.44
1374,14770.44
1375,14770.44
1376,15364.83
1377,15364.83
1378,15364.83
1379,15364.83
1380,15845.26
1381,15845.26
1382,15845.26
1383,15845.26
1384,16418.58
1385,16418.58
1386,16418.58
1387,16418.58
1388,16639.19
1389,16639.19
1390,16639.19
1391,16639.19
1392,16717.69
1393,16717.69
1394,16717.69
1395,16717.69
1396,16570.06
1397,16570.06
1398,16570.06
1399,16570.06
1400,16581.95
1401,16581.95
1402,16581.95
1403,16581.95
1404,17420.01
1405,17420.01
1406,17420.01
1407,17420.01
1408,17975.78
1409,17975.78
1410,17975.78
1411,17975.78
1412,18418.81
1413,18418.81
1414,18418.81
1415,18418.81
1416,17666.96
