fiscal_week,date,technology,observed_mu,modeled_mu,error_mu,absolute_error_mu,percentage_error
31,2025-11-01,hydro,20.71,17.344298940575946,-3.3657010594240546,3.3657010594240546,-16.251574405717307
31,2025-11-01,solar,50.28,63.42352829477986,13.143528294779856,13.143528294779856,26.140668844033126
31,2025-11-01,wind,27.56,37.21457864088093,9.654578640880931,9.654578640880931,35.03112714398016
31,2025-11-01,comparable_total,285.65,365.3727501416483,79.7227501416483,79.7227501416483,27.909242129055947
32,2025-11-04,coal,185.65,214.16836251495067,28.518362514950667,28.518362514950667,15.361358747616842
32,2025-11-04,oil_gas,4.14,0.0,-4.14,4.14,-100.0
32,2025-11-04,nuclear,24.64,35.83917354120941,11.199173541209412,11.199173541209412,45.45119131984339
32,2025-11-04,hydro,24.29,17.265371997973258,-7.024628002026741,7.024628002026741,-28.919835331522194
32,2025-11-04,solar,46.6,63.1078380142038,16.5078380142038,16.5078380142038,35.42454509485793
32,2025-11-04,wind,43.97,43.23046754679274,-0.7395324532072607,0.7395324532072607,-1.6819023270576774
32,2025-11-04,comparable_total,329.29,373.6112136151299,44.321213615129864,44.321213615129864,13.459629389027866
33,2025-11-11,coal,183.82,209.88355855678637,26.063558556786376,26.063558556786376,14.178848088775093
33,2025-11-11,oil_gas,3.92,0.0,-3.92,3.92,-100.0
33,2025-11-11,nuclear,24.59,35.83917354120941,11.249173541209412,11.249173541209412,45.74694404721192
33,2025-11-11,hydro,24.8,19.453581440401123,-5.346418559598877,5.346418559598877,-21.55813935322128
33,2025-11-11,solar,36.76,62.8378756475423,26.0778756475423,26.0778756475423,70.94090219679624
33,2025-11-11,wind,3.5,39.600987127464464,36.100987127464464,36.100987127464464,1031.4567750704132
33,2025-11-11,comparable_total,277.39,367.6151763134037,90.22517631340372,90.22517631340372,32.526470425539394
34,2025-11-21,coal,183.41,191.6667440578071,8.256744057807111,8.256744057807111,4.501796007746094
34,2025-11-21,oil_gas,3.69,0.0,-3.69,3.69,-100.0
34,2025-11-21,nuclear,24.68,35.83917354120941,11.159173541209412,11.159173541209412,45.215451949795025
34,2025-11-21,hydro,17.2,17.171816312501484,-0.028183687498515297,0.028183687498515297,-0.16385864824718196
34,2025-11-21,solar,38.39,62.246037222588285,23.856037222588284,23.856037222588284,62.14127955870874
34,2025-11-21,wind,29.16,41.94834142277429,12.788341422774291,12.788341422774291,43.85576619607095
34,2025-11-21,comparable_total,296.53,348.87211255688055,52.34211255688058,52.34211255688058,17.651540335507566
35,2025-11-28,coal,185.49,174.8869421335307,-10.6030578664693,10.6030578664693,-5.716242313046147
35,2025-11-28,oil_gas,2.45,0.0,-2.45,2.45,-100.0
35,2025-11-28,nuclear,29.6,35.83917354120941,6.239173541209411,6.239173541209411,21.078288990572336
35,2025-11-28,hydro,17.28,17.00150432732365,-0.27849567267634967,0.27849567267634967,-1.611664772432579
35,2025-11-28,solar,11.5,61.846303844009576,50.346303844009576,50.346303844009576,437.79394646964846
35,2025-11-28,wind,30.93,37.194621820736025,6.264621820736025,6.264621820736025,20.25419276021993
35,2025-11-28,comparable_total,277.25,326.76854566680936,49.51854566680936,49.51854566680936,17.86061160209535
36,2025-12-02,coal,144.47,165.2493222862885,20.779322286288505,20.779322286288505,14.383139950362363
36,2025-12-02,oil_gas,3.44,0.0,-3.44,3.44,-100.0
36,2025-12-02,nuclear,29.55,35.83917354120941,6.289173541209411,6.289173541209411,21.28315919191002
36,2025-12-02,hydro,15.44,15.67939576862332,0.23939576862331968,0.23939576862331968,1.5504907294256456
36,2025-12-02,solar,42.27,61.334801824941685,19.064801824941682,19.064801824941682,45.10244103369217
36,2025-12-02,wind,7.42,40.437509551344085,33.017509551344084,33.017509551344084,444.9799130908906
36,2025-12-02,comparable_total,242.59,318.54020297240703,75.95020297240703,75.95020297240703,31.30805184566842
37,2025-12-12,coal,182.05,189.4624243192119,7.41242431921188,7.41242431921188,4.071642031975765
37,2025-12-12,oil_gas,3.61,0.0,-3.61,3.61,-100.0
37,2025-12-12,nuclear,29.64,35.83917354120941,6.1991735412094116,6.1991735412094116,20.914890489910295
37,2025-12-12,hydro,18.06,15.149477764196174,-2.9105222358038247,2.9105222358038247,-16.115848481748753
37,2025-12-12,solar,41.49,60.65297404989114,19.16297404989114,19.16297404989114,46.18697047455083
37,2025-12-12,wind,30.05,38.301017267993686,8.251017267993685,8.251017267993685,27.457628179679485
37,2025-12-12,comparable_total,304.9,339.40506694250234,34.50506694250237,34.50506694250237,11.316847144146399
38,2025-12-19,coal,171.67,187.191748705566,15.521748705566011,15.521748705566011,9.041619797032686
38,2025-12-19,oil_gas,3.39,0.0,-3.39,3.39,-100.0
38,2025-12-19,nuclear,29.66,35.83917354120941,6.179173541209412,6.179173541209412,20.83335651115783
38,2025-12-19,hydro,11.63,15.415257846141984,3.785257846141983,3.785257846141983,32.547358952209656
38,2025-12-19,solar,47.99,60.59172465724088,12.60172465724088,12.60172465724088,26.259063674183952
38,2025-12-19,wind,41.39,40.695899648673425,-0.6941003513265755,0.6941003513265755,-1.6769759635819654
38,2025-12-19,comparable_total,305.73,339.73380439883175,34.00380439883173,34.00380439883173,11.122168056400005
39,2025-12-24,coal,160.64,203.3303468182076,42.690346818207615,42.690346818207615,26.575166096991797
39,2025-12-24,oil_gas,3.64,0.0,-3.64,3.64,-100.0
39,2025-12-24,nuclear,29.6,35.83917354120941,6.239173541209411,6.239173541209411,21.078288990572336
39,2025-12-24,hydro,11.36,16.024791768785633,4.6647917687856335,4.6647917687856335,41.0633078238172
39,2025-12-24,solar,51.88,61.11041037695085,9.23041037695085,9.23041037695085,17.791847295587605
39,2025-12-24,wind,20.19,33.94786402897117,13.757864028971166,13.757864028971166,68.14197141640003
39,2025-12-24,comparable_total,277.31,350.2525865341247,72.9425865341247,72.9425865341247,26.303626459242256
40,2025-12-31,coal,175.57,217.13220809747924,41.56220809747924,41.56220809747924,23.67272774248405
40,2025-12-31,oil_gas,3.59,0.0,-3.59,3.59,-100.0
40,2025-12-31,nuclear,29.76,35.83917354120941,6.079173541209411,6.079173541209411,20.427330447612263
40,2025-12-31,hydro,11.1,16.436594243141272,5.336594243141272,5.336594243141272,48.07742561388534
40,2025-12-31,solar,39.36,61.19296220420133,21.83296220420133,21.83296220420133,55.469924299291996
40,2025-12-31,wind,9.43,36.2016942663,26.771694266300003,26.771694266300003,283.8991968854719
40,2025-12-31,comparable_total,268.81,366.8026323523313,97.99263235233127,97.99263235233127,36.45423620859762
41,2026-01-06,coal,168.77,207.0008475790573,38.2308475790573,38.2308475790573,22.65263232746181
41,2026-01-06,oil_gas,3.43,0.0,-3.43,3.43,-100.0
41,2026-01-06,nuclear,29.74,35.83917354120941,6.099173541209414,6.099173541209414,20.508317219937506
41,2026-01-06,hydro,10.91,14.892044523026005,3.982044523026005,3.982044523026005,36.499033208304354
41,2026-01-06,solar,28.54,61.095630982262236,32.55563098226224,32.55563098226224,114.07018564212417
