component_type,excel_row,record_kind,unit_sequence,source,plant_name,state,district,commissioning_date,capacity_mw,implementing_agency,duplicate_group_size,component_id,original_component_id,bus,allocated_districts,allocation_method,allocation_confidence,allocation_source_url,allocation_notes,allocation_share,original_capacity_mw
Generator,85.0,unit,8.0,Hydro,Kundah I to V Hydroelectric Power Project,Tamil Nadu,Nilgiris,1964-04-01,20.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1.0,kundah_i_to_v_hydroelectric_power_project__unit_08,kundah_i_to_v_hydroelectric_power_project__unit_08,Coimbatore,The Nilgiris,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,20.0
Generator,86.0,unit,3.0,Hydro,Kundah I to V Hydroelectric Power Project,Tamil Nadu,Nilgiris,1960-10-30,35.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1.0,kundah_i_to_v_hydroelectric_power_project__unit_03,kundah_i_to_v_hydroelectric_power_project__unit_03,Coimbatore,The Nilgiris,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,35.0
Generator,87.0,unit,4.0,Hydro,Kundah I to V Hydroelectric Power Project,Tamil Nadu,Nilgiris,1961-01-10,35.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1.0,kundah_i_to_v_hydroelectric_power_project__unit_04,kundah_i_to_v_hydroelectric_power_project__unit_04,Coimbatore,The Nilgiris,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,35.0
Generator,88.0,unit,5.0,Hydro,Kundah I to V Hydroelectric Power Project,Tamil Nadu,Nilgiris,1961-05-02,35.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1.0,kundah_i_to_v_hydroelectric_power_project__unit_05,kundah_i_to_v_hydroelectric_power_project__unit_05,Coimbatore,The Nilgiris,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,35.0
Generator,89.0,unit,6.0,Hydro,Kundah I to V Hydroelectric Power Project,Tamil Nadu,Nilgiris,1961-06-16,35.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1.0,kundah_i_to_v_hydroelectric_power_project__unit_06,kundah_i_to_v_hydroelectric_power_project__unit_06,Coimbatore,The Nilgiris,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,35.0
Generator,90.0,unit,7.0,Hydro,Kundah I to V Hydroelectric Power Project,Tamil Nadu,Nilgiris,1964-02-23,35.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1.0,kundah_i_to_v_hydroelectric_power_project__unit_07,kundah_i_to_v_hydroelectric_power_project__unit_07,Coimbatore,The Nilgiris,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,35.0
Generator,91.0,unit,10.0,Hydro,Kundah I to V Hydroelectric Power Project,Tamil Nadu,Coimbatore,1965-04-07,60.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1.0,kundah_i_to_v_hydroelectric_power_project__unit_10,kundah_i_to_v_hydroelectric_power_project__unit_10,Coimbatore,Coimbatore,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,60.0
Generator,92.0,unit,11.0,Hydro,Kundah I to V Hydroelectric Power Project,Tamil Nadu,Coimbatore,1965-06-11,60.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1.0,kundah_i_to_v_hydroelectric_power_project__unit_11,kundah_i_to_v_hydroelectric_power_project__unit_11,Coimbatore,Coimbatore,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,60.0
Generator,93.0,unit,13.0,Hydro,Kundah I to V Hydroelectric Power Project,Tamil Nadu,Coimbatore,1978-02-18,60.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1.0,kundah_i_to_v_hydroelectric_power_project__unit_13,kundah_i_to_v_hydroelectric_power_project__unit_13,Coimbatore,Coimbatore,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,60.0
Generator,94.0,unit,12.0,Hydro,Kundah I to V Hydroelectric Power Project,Tamil Nadu,Coimbatore,1966-02-27,50.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1.0,kundah_i_to_v_hydroelectric_power_project__unit_12,kundah_i_to_v_hydroelectric_power_project__unit_12,Coimbatore,Coimbatore,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,50.0
