date,reported_page_date,reservoir,full_depth_ft,full_capacity_mcft,current_level_ft,current_storage_mcft,current_inflow_cusec,current_outflow_cusec,last_year_level_ft,last_year_storage_mcft,source_url,date_validation,storage_fraction_gross,storage_fraction,inflow_mcft_per_day,outflow_mcft_per_day,current_storage_m3,full_capacity_m3,inflow_m3_per_day,outflow_m3_per_day,agriculture_storage_bcm,cwc_live_capacity_bcm,cwc_nonlive_offset_bcm,calibrated_live_storage_bcm,live_soc_fraction,live_capacity_source,soc_calibration_rule
2025-04-03,2025-04-03,Parambikulam,72.0,13408.0,50.3,8695.0,132.0,1190.0,19.36,2903.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-03,verified,0.6484934367541766,0.6484934367541766,11.4048,102.816,246214981.11744002,379672279.10553604,322947.9720124416,2911424.8992030723,0.24621498111744003,0.38,0.0,0.24621498111744003,0.6479341608353685,CWC static live capacity,Agriculture storage clipped to CWC live capacity
2025-04-03,2025-04-03,Aliyar,120.0,3864.0,64.5,734.0,397.0,470.0,55.3,442.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-03,verified,0.18995859213250518,0.18995859213250518,34.3008,40.608000000000004,20784565.398528002,109416295.231488,971290.4915828737,1149890.506407936,0.020784565398528004,0.095,0.014416,0.006368565398528004,0.06703753051082109,CWC static live capacity,"Agriculture storage - 0.014416 BCM, clipped to CWC live capacity"
2025-04-03,2025-04-03,Thirumurthy,60.0,1744.0,34.39,779.0,721.0,956.0,50.64,1353.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-03,verified,0.4466743119266055,0.4466743119266055,62.2944,82.5984,22058823.495168,49384580.456448,1763980.968340685,2338926.2215446527,0.022058823495168002,,0.0,,,,
2025-04-04,2025-04-04,METTUR,120.0,93470.0,107.91,75472.0,436.0,1003.0,58.98,23931.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-04,verified,0.8074462394351128,0.8074462394351128,37.6704,86.6592,2137129045.991424,2646775650.9542403,1066706.9378592768,2453915.2721854467,2.1371290459914243,2.647,0.0,2.1371290459914243,0.8073778035479503,CWC static live capacity,Agriculture storage clipped to CWC live capacity
2025-04-04,2025-04-04,Krishna Raja Sagar,124.8,49452.0,104.16,26249.0,173.0,793.0,85.14,13241.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-04,verified,0.530797541049907,0.530797541049907,14.9472,68.51520000000001,743288906.193408,1400324697.6675842,423257.56937994243,1940134.4076201988,0.743288906193408,,0.0,,,,
2025-04-04,2025-04-04,Kabini,65.0,19516.0,50.64,11508.0,57.0,1200.0,45.73,9251.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-04,verified,0.5896700143472023,0.5896700143472023,4.9248,103.68,325870270.58073604,552631578.089472,139454.80609628162,2935890.65465856,0.32587027058073603,,0.0,,,,
2025-04-04,2025-04-04,Harangi,129.0,8500.0,104.03,3546.0,144.0,100.0,97.24,3198.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-04,verified,0.4171764705882353,0.4171764705882353,12.441600000000001,8.64,100411538.01523201,240693196.032,352306.8785590273,244657.55455488004,0.100411538015232,,0.0,,,,
2025-04-04,2025-04-04,Hemavathy,117.0,37103.0,94.96,19660.0,17.0,355.0,77.01,10485.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-04,verified,0.5298762903269277,0.5298762903269277,1.4688,30.672,556709203.99872,1050639959.1029761,41591.784274329606,868534.318669824,0.55670920399872,,0.0,,,,
2025-04-04,2025-04-04,BHAVANISAGAR,105.0,32800.0,75.47,13405.0,1298.0,3375.0,47.72,3907.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-04,verified,0.4086890243902439,0.4086890243902439,112.14720000000001,291.6,379587328.56576,928792568.2176001,3175655.058122343,8257192.466227201,0.37958732856576005,0.792,0.0,0.37958732856576005,0.4792769300072728,CWC static live capacity,Agriculture storage clipped to CWC live capacity
2025-04-04,2025-04-04,AMARAVATHI,90.0,4047.0,47.77,1067.0,13.0,,46.13,992.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-04,verified,0.2636520879663949,0.2636520879663949,1.1232,,30214075.313664,114598278.15782401,31805.4820921344,,0.030214075313664004,,0.0,,,,
