,Tamil_Nadu_demand
1526,17851.14
1527,17108.34
1528,18061.54
1529,18496.62
1530,17988.3
1531,18147.88
1532,17540.51
1533,17542.56
1534,18003.0
1535,17830.21
1536,17089.58
1537,16447.81
1538,15796.77
1539,15446.07
1540,15107.9
1541,15300.6
1542,15608.27
1543,16510.61
1544,16327.18
1545,16545.0
1546,17069.14
1547,17280.47
1548,17334.74
1549,16699.17
1550,17185.01
1551,17084.28
1552,18109.37
1553,18634.08
1554,18473.95
1555,18554.33
1556,17907.19
1557,17983.74
1558,18473.48
1559,18217.44
1560,17105.31
1561,16548.88
1562,16110.71
1563,15661.78
1564,15663.28
1565,15777.45
1566,16027.95
1567,17045.05
1568,16652.16
1569,17077.21
1570,17419.82
1571,17532.16
1572,17491.07
1573,17297.57
1574,17158.25
1575,17761.06
1576,18517.4
1577,18895.06
1578,18448.48
1579,18728.27
1580,18178.71
1581,18246.45
1582,18719.37
1583,18176.31
1584,17594.96
1585,16844.16
1586,16486.63
1587,16137.52
1588,16135.82
1589,16314.32
1590,16432.69
1591,17158.32
1592,16770.23
1593,17312.26
1594,17802.71
1595,18164.36
1596,18275.48
1597,18137.66
1598,17830.84
1599,19029.19
1600,19780.19
1601,19746.47
1602,18953.59
1603,19123.49
1604,18599.48
1605,18570.33
1606,18829.87
1607,18371.62
1608,17588.99
1609,16835.29
1610,16342.79
1611,15972.0
1612,15874.1
1613,16086.05
1614,15853.67
1615,16265.08
1616,15895.87
1617,16385.47
1618,16647.81
1619,16546.98
1620,16824.75
1621,16729.48
1622,16864.97
1623,17919.63
1624,18546.01
1625,18726.08
1626,17701.38
1627,17582.38
1628,17023.15
1629,17016.43
1630,17398.2
1631,17413.55
1632,16649.69
1633,16385.43
1634,15816.16
1635,15508.49
1636,15186.21
1637,15254.47
1638,15059.9
1639,14961.23
1640,14183.44
1641,14183.17
1642,14270.13
1643,14096.35
1644,14146.87
1645,14317.37
1646,14522.73
1647,14652.84
1648,14312.43
1649,14566.34
1650,13953.42
1651,13947.24
1652,14984.53
1653,15184.54
1654,15838.97
1655,15538.34
1656,14721.15
1657,14395.12
1658,13893.51
1659,13654.33
1660,13503.05
1661,13500.61
1662,13991.82
1663,15211.78
1664,15166.96
1665,15314.45
1666,15837.72
1667,15600.1
1668,15922.28
1669,15754.86
1670,15590.43
1671,17417.99
1672,17390.48
1673,17470.04
1674,16893.13
1675,17286.54
1676,16811.02
1677,16500.59
1678,16850.04
1679,16684.2
1680,15557.69
1681,14769.98
1682,14534.32
1683,13993.54
1684,13758.69
1685,13793.52
1686,14411.64
1687,15436.37
1688,15104.81
1689,15196.98
1690,15712.93
1691,15929.93
1692,15966.7
1693,15656.46
1694,16265.57
1695,17040.46
1696,17188.35
1697,16822.04
1698,16585.39
1699,16881.61
1700,15981.55
1701,16051.98
1702,16253.58
1703,16010.89
1704,15302.37
1705,14692.92
1706,14237.49
1707,13898.48
1708,13727.13
1709,13820.44
1710,14446.0
1711,15569.56
1712,15342.7
1713,15226.73
1714,15080.87
1715,15642.83
1716,15940.02
1717,15571.21
1718,15461.53
1719,16079.61
1720,16437.15
1721,17125.1
1722,16640.03
1723,16913.54
1724,16439.43
1725,16205.44
1726,16154.04
1727,15474.57
1728,14708.2
1729,14108.11
1730,13779.17
1731,13405.64
1732,13310.36
1733,13573.91
1734,13977.1
1735,15196.83
1736,15049.4
1737,15127.87
1738,15119.09
1739,15521.87
1740,15283.56
1741,15295.16
1742,15011.34
1743,15905.0
1744,16261.01
1745,16697.52
1746,16616.76
1747,16759.47
1748,16087.82
1749,16054.82
1750,16293.81
1751,15595.23
1752,14339.09
1753,14042.49
1754,13893.58
1755,13669.06
1756,13558.63
1757,13904.25
1758,14509.04
1759,15718.64
1760,15340.53
1761,15410.96
1762,16035.32
1763,16251.58
1764,16154.46
1765,16167.37
1766,15935.72
1767,16434.85
1768,16712.91
1769,16685.8
1770,16338.25
1771,16895.58
1772,16192.67
1773,15930.78
1774,16213.49
1775,15645.16
1776,15011.41
1777,14191.11
1778,13967.27
1779,13449.46
1780,13609.3
1781,13700.32
1782,14372.94
1783,14745.85
1784,14717.74
1785,15412.5
1786,16018.7
1787,16471.92
1788,16104.73
1789,15961.92
1790,15761.74
1791,16516.74
1792,16698.64
1793,16449.62
1794,15842.07
1795,16179.8
1796,15803.03
1797,15591.61
1798,15796.72
1799,15844.77
1800,15192.76
1801,14601.7
1802,14157.02
1803,13739.02
1804,13729.53
1805,13703.63
1806,13580.13
1807,13886.87
1808,13612.26
1809,13871.2
1810,13815.31
1811,13706.31
1812,13960.33
1813,13819.46
1814,13597.98
1815,13965.49
1816,14202.49
1817,14441.1
1818,14561.17
1819,15073.04
1820,14750.53
1821,15071.19
1822,15064.77
1823,14597.69
1824,13984.79
1825,13356.03
1826,12900.88
1827,12833.6
1828,12622.46
1829,13042.49
1830,13702.77
1831,15149.36
1832,15455.34
1833,15606.93
1834,16046.77
1835,16426.52
1836,16167.45
1837,15875.3
1838,15654.5
1839,16369.21
1840,16947.09
1841,17013.12
1842,16788.07
1843,17313.13
1844,16665.72
1845,16654.52
1846,16910.58
1847,16677.16
1848,15797.12
1849,14986.87
1850,14743.69
1851,14356.27
1852,14086.18
1853,14339.38
1854,14874.96
1855,16434.72
1856,16446.68
1857,16557.27
1858,16222.67
1859,16474.0
1860,15333.92
1861,15178.78
1862,15883.24
1863,16300.91
